127.0.0.1 - - [07/Apr/2022:18:20:14 +0800] "GET / HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:40:17 +0800] "GET /JSPTest/ HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:41:06 +0800] "GET /JSPTest/%E9%87%8D%E7%BD%AE2.jsp HTTP/1.1" 200 2333
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:41:06 +0800] "GET /JSPTest/%E7%AC%AC%E5%9B%9B%E7%AB%A0%E7%B4%A0%E6%9D%90_%E6%9B%B4%E6%96%B0/%E6%A1%88%E4%BE%8B%E4%BA%8C%E7%B4%A0%E6%9D%90/default.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:41:07 +0800] "GET /JSPTest/%E9%87%8D%E7%BD%AE2.jsp HTTP/1.1" 200 2333
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:41:12 +0800] "GET /JSPTest/%E9%87%8D%E7%BD%AE2.jsp HTTP/1.1" 200 2333
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:41:12 +0800] "GET /JSPTest/%E7%AC%AC%E5%9B%9B%E7%AB%A0%E7%B4%A0%E6%9D%90_%E6%9B%B4%E6%96%B0/%E6%A1%88%E4%BE%8B%E4%BA%8C%E7%B4%A0%E6%9D%90/default.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:41:21 +0800] "GET /JSPTest/%E9%87%8D%E7%BD%AE2.jsp HTTP/1.1" 200 2333
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:41:21 +0800] "GET /JSPTest/%E7%AC%AC%E5%9B%9B%E7%AB%A0%E7%B4%A0%E6%9D%90_%E6%9B%B4%E6%96%B0/%E6%A1%88%E4%BE%8B%E4%BA%8C%E7%B4%A0%E6%9D%90/default.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:41:23 +0800] "GET /JSPTest/%E9%87%8D%E7%BD%AE2.jsp HTTP/1.1" 200 2333
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:41:25 +0800] "GET /JSPTest/index.jsp HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:42:04 +0800] "GET /JSPTest/%E9%87%8D%E7%BD%AE2.jsp HTTP/1.1" 200 2333
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:42:04 +0800] "GET /JSPTest/%E7%AC%AC%E5%9B%9B%E7%AB%A0%E7%B4%A0%E6%9D%90_%E6%9B%B4%E6%96%B0/%E6%A1%88%E4%BE%8B%E4%BA%8C%E7%B4%A0%E6%9D%90/default.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:42:06 +0800] "GET /JSPTest/case5.jsp HTTP/1.1" 200 2409
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:42:06 +0800] "GET /JSPTest/css/login.css HTTP/1.1" 200 1172
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:42:06 +0800] "GET /JSPTest/css/headFoot.css HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:42:06 +0800] "GET /JSPTest/images/quanx32.gif HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:42:06 +0800] "GET /JSPTest/static/images/head.gif HTTP/1.1" 200 5777
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:42:06 +0800] "GET /JSPTest/images/img01.gif HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:42:06 +0800] "GET /JSPTest/images/img03.png HTTP/1.1" 200 21806
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:42:06 +0800] "GET /JSPTest/images/bg0.gif HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:42:06 +0800] "GET /JSPTest/images/img05.png HTTP/1.1" 200 22529
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:42:06 +0800] "GET /JSPTest/images/img04.png HTTP/1.1" 200 24168
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:42:06 +0800] "GET /JSPTest/images/img02.gif HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:42:08 +0800] "POST /JSPTest/userLogin HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:42:15 +0800] "GET /JSPTest/%E9%87%8D%E7%BD%AE2.jsp HTTP/1.1" 200 2333
